red_fighter,blue_fighter,snapshot_date,winner,age_diff,height_diff,reach_diff,experience_diff,wins_diff,losses_diff,win_rate_diff,win_streak_diff,lose_streak_diff,momentum_diff,ko_rate_diff,submission_rate_diff,decision_rate_diff,fight_time_diff,sig_strike_diff,takedown_diff,submission_attempt_diff
Rafael Fiziev,Mauricio Ruffy,2026-01-31,Blue,3.0,-7.6200000000000045,-10.159999999999997,7.0,4.0,3.0,-0.11399999999999999,1.0,-1.0,2.0,-0.23800000000000004,0.0,0.23799999999999993,340.45000000000005,0.5199999999999996,0.83,0.0
Tai Tuivasa,Tallison Teixeira,2026-01-31,Blue,6.0,-12.699999999999989,-20.319999999999993,14.0,7.0,7.0,0.0,0.0,4.0,-4.0,-0.125,0.0,0.125,435.86,-1.2499999999999996,-2.48,0.0
Quillan Salkilld,Jamie Mullarkey,2026-01-31,Red,-6.0,0.0,2.539999999999992,-9.0,-3.0,-6.0,0.5,2.0,0.0,2.0,0.334,0.0,-0.334,-261.87000000000006,1.0600000000000005,5.49,0.7000000000000001
Junior Tafa,Billy Elekana,2026-01-31,Blue,-2.0,0.0,-5.0800000000000125,3.0,0.0,3.0,-0.334,-2.0,1.0,-3.0,1.0,-0.5,-0.5,-99.67000000000002,0.7000000000000002,-0.85,-0.8
Cam Rowston,Cody Brundage,2026-01-31,Red,-1.0,7.6200000000000045,15.240000000000009,-11.0,-4.0,-6.0,0.5449999999999999,1.0,-1.0,2.0,0.4,-0.2,0.0,-300.5,2.0,-1.38,0.0
Jacob Malkoun,Torrez Finney,2026-01-31,Red,2.0,2.539999999999992,-5.0800000000000125,6.0,3.0,3.0,-0.42900000000000005,0.0,0.0,0.0,0.25,0.0,-0.25,-241.20000000000005,2.08,-0.2400000000000002,-0.4
Jonathan Micallef,Oban Elliott,2026-01-31,Red,-2.0,0.0,12.700000000000017,-3.0,-2.0,-1.0,0.25,1.0,-1.0,2.0,-0.333,0.0,0.33299999999999996,65.0,0.33999999999999986,-0.3900000000000001,1.1
Kaan Ofli,Yizha,2026-01-31,Red,4.0,0.0,-12.700000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-121.66000000000003,-0.9199999999999999,-3.04,-0.5
Sangwook Kim,Dom Mar Fan,2026-01-31,Blue,7.0,2.539999999999992,-10.159999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keiichiro Nakamura,Sebastian Szalay,2026-01-31,Red,-4.0,10.160000000000025,10.160000000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulangrangbo,Lawrence Lui,2026-01-31,Blue,-9.0,5.079999999999984,-15.240000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Gaethje,Paddy Pimblett,2026-01-24,Red,6.0,2.539999999999992,-7.619999999999976,7.0,2.0,5.0,-0.357,-6.0,0.0,-6.0,0.38100000000000006,-0.429,0.04700000000000004,159.42999999999995,0.9900000000000002,-0.35999999999999993,-1.2
Sean O'Malley,Song Yadong,2026-01-24,Red,3.0,7.6200000000000045,12.699999999999989,-1.0,-1.0,0.0,-0.017000000000000015,-1.0,2.0,-3.0,0.14499999999999996,-0.091,-0.05499999999999999,-10.18999999999994,1.63,-0.54,0.1
