winner,fighter_red,fighter_blue,age_diff,height_diff,reach_diff,sig_strike_diff,sig_accuracy_diff,td_diff,td_accuracy_diff,submission_diff,wins_diff,losses_diff,win_streak_diff,lose_streak_diff,strike_defense_diff,td_defense_diff,title_fight,rounds
Red,Alexander Volkanovski,Mizuto Hirota,-8,-2.5400000000000205,10.159999999999997,-6.25,0.245,0.75,0.43700000000000006,0.0,0,-3,0,0,0.245,0.43700000000000006,False,3
Blue,Damien Brown,Vinc Pichel,-2,0.0,-10.159999999999997,-10.0,0.11300000000000004,-5.0,-0.35000000000000003,0.3334,0,0,0,0,0.11300000000000004,-0.35000000000000003,False,3
Red,Luke Jumeau,Dominique Steele,0,2.539999999999992,-5.0800000000000125,,,,,,-1,-3,0,-2,,,False,3
Red,John Moraga,Ashkan Mokhtarian,2,0.0,-2.5400000000000205,,,,,,5,5,0,3,,,False,3
Blue,Kiichi Kunimoto,Zak Ottow,6,-2.539999999999992,-2.539999999999992,-38.75,0.07,0.75,0.17,-0.25,2,0,0,0,0.07,0.17,False,3
Red,JJ Aldrich,Chanmi Jeon,5,0.0,0.0,,,,,,0,1,0,1,,,False,3
Blue,Jose Aldo,Max Holloway,5,-10.159999999999997,2.5400000000000205,-9.631900000000002,-0.024999999999999967,1.0833,0.07600000000000001,-0.10420000000000001,-5,-2,-9,0,-0.024999999999999967,0.07600000000000001,True,5
Red,Claudia Gadelha,Karolina Kowalkiewicz,-3,2.539999999999992,-2.539999999999992,-18.75,0.066,5.2,0.712,0.8,0,1,1,-1,0.066,0.712,False,3
Red,Vitor Belfort,Nate Marquardt,2,0.0,0.0,-13.231900000000001,-0.01100000000000001,-1.1413,-0.339,-0.27540000000000003,1,0,0,2,-0.01100000000000001,-0.339,False,3
Red,Paulo Costa,Oluwale Bamgbose,-3,5.079999999999984,-15.240000000000009,10.3333,0.22300000000000003,0.0,0.0,0.0,0,-2,1,-1,0.22300000000000003,0.0,False,3
Blue,Erick Silva,Yancy Medeiros,3,5.079999999999984,-2.539999999999992,-10.1795,0.20200000000000007,0.4615,0.185,0.3248,3,1,0,0,0.20200000000000007,0.185,False,3
Red,Raphael Assuncao,Marlon Moraes,5,-2.539999999999992,-2.5400000000000205,,,,,,8,2,1,0,,,False,3
Blue,Johnny Eduardo,Matthew Lopez,8,0.0,5.0800000000000125,2.0,-0.11199999999999999,-3.0,-0.915,-1.3,2,1,0,0,-0.11199999999999999,-0.915,False,3
Blue,Iuri Alcantara,Brian Kelleher,6,7.6200000000000045,12.700000000000017,,,,,,9,5,2,0,,,False,3
Red,Viviane Pereira,Jamie Moyle,-5,0.0,-5.079999999999984,-48.0,-0.35,-2.0,0.7,0.0,0,0,0,0,-0.35,0.7,False,3
Red,Luan Chagas,Jimmy Wallhead,-10,5.079999999999984,5.0800000000000125,-3.5,0.06,0.5,0.125,0.0,0,1,0,1,0.06,0.125,False,3
Red,Alexander Gustafsson,Glover Teixeira,-7,7.6200000000000045,7.6200000000000045,8.012900000000002,-0.06,-0.19229999999999992,-0.032999999999999974,-0.03210000000000002,0,1,0,0,-0.06,-0.032999999999999974,False,5
Red,Volkan Oezdemir,Misha Cirkunov,-3,-2.539999999999992,-5.0800000000000125,55.0,-0.10500000000000004,-2.25,-0.56,-0.75,-3,0,-3,0,-0.10500000000000004,-0.56,False,3
Red,Peter Sobotta,Ben Saunders,-4,-5.0800000000000125,-5.0800000000000125,-6.5596,-0.19499999999999995,1.4046999999999998,0.21,-0.17859999999999998,-5,0,0,0,-0.19499999999999995,0.21,False,3
Blue,Abdul Razak Alhassan,Omari Akhmedov,2,-5.079999999999984,0.0,-15.5714,0.15100000000000002,-1.8571,-0.417,-0.2857,-3,-3,0,0,0.15100000000000002,-0.417,False,3
Blue,Oliver Enkamp,Nordine Taleb,-10,-2.539999999999992,7.6200000000000045,,,,,,-4,-2,0,-1,,,False,3
Red,Jack Hermansson,Alex Nicholson,1,-7.6200000000000045,-10.159999999999997,12.333300000000001,-0.027000000000000024,0.5,0.08,0.0,0,-1,0,0,-0.027000000000000024,0.08,False,3
Red,Pedro Munhoz,Damian Stasiak,3,2.539999999999992,-12.700000000000017,19.166600000000003,0.02200000000000002,-1.8333,-0.397,-0.16669999999999996,1,2,0,0,0.02200000000000002,-0.397,False,3
Red,Trevor Smith,Chris Camozzi,6,2.539999999999992,-2.539999999999992,-0.7638999999999996,0.05900000000000005,0.9028,0.11699999999999999,0.4167,-5,-5,0,-1,0.05900000000000005,0.11699999999999999,False,3
Blue,Reza Madadi,Joaquim Silva,10,7.6200000000000045,7.6200000000000045,5.833300000000001,0.041999999999999926,2.3333,0.428,0.5,1,3,-2,1,0.041999999999999926,0.428,False,3
Blue,Nico Musoke,Bojan Velickovic,3,0.0,-2.539999999999992,17.6,0.05499999999999999,0.33330000000000004,0.11299999999999996,-0.46669999999999995,2,0,0,-1,0.05499999999999999,0.11299999999999996,False,3
Red,Darren Till,Jessin Ayari,0,0.0,2.5400000000000205,-33.0,0.17499999999999993,0.0,0.0,0.0,0,1,-1,1,0.17499999999999993,0.0,False,3
Blue,Marcin Held,Damir Hadzovic,-5,0.0,2.539999999999992,15.5,0.07500000000000001,2.5,0.5,0.5,0,1,0,1,0.07500000000000001,0.5,False,3
Red,Stipe Miocic,Junior Dos Santos,1,0.0,7.619999999999976,-9.133299999999998,0.01100000000000001,1.0834000000000001,0.169,-0.0667,-2,-1,3,0,0.01100000000000001,0.169,True,5
Red,Joanna Jedrzejczyk,Jessica Andrade,4,12.699999999999989,7.6200000000000045,51.9714,-0.11699999999999994,-1.4143,-0.36,-0.5,0,-3,4,0,-0.11699999999999994,-0.36,True,5
Red,Demian Maia,Jorge Masvidal,7,5.079999999999984,-5.0800000000000125,-35.3237,0.038000000000000034,1.1795,0.02699999999999997,0.4615,9,2,3,0,0.038000000000000034,0.02699999999999997,False,3
Red,Frankie Edgar,Yair Rodriguez,11,-12.700000000000017,-7.6200000000000045,5.1905,-0.04200000000000004,1.8096,-0.19,-0.6905000000000001,9,6,-5,0,-0.04200000000000004,-0.19,False,3
Blue,Krzysztof Jotko,David Branch,-8,0.0,-2.539999999999992,21.321399999999997,0.013999999999999957,-1.0,-0.08100000000000002,0.0,4,-1,5,-1,0.013999999999999957,-0.08100000000000002,False,3
Blue,Chas Skelly,Jason Knight,8,2.539999999999992,2.539999999999992,-32.0,0.034999999999999976,-0.625,0.035999999999999976,-0.5,3,1,-1,0,0.034999999999999976,0.035999999999999976,False,3
Red,Chase Sherman,Rashad Coulter,-8,12.699999999999989,5.0800000000000125,,,,,,0,2,0,2,,,False,3
Red,James Vick,Polo Reyes,-2,10.159999999999997,12.699999999999989,-28.571399999999997,-0.04099999999999998,0.1429,0.071,0.7143,3,1,-2,0,-0.04099999999999998,0.071,False,3
Blue,Jessica Aguilar,Cortney Casey,5,-10.159999999999997,-10.159999999999997,30.6,-0.134,-0.4,-0.2,-0.2,-2,-2,0,0,-0.134,-0.2,False,3
Blue,Gabriel Benitez,Enrique Barzola,0,2.539999999999992,2.539999999999992,-21.75,-0.03999999999999998,-4.3333,-0.413,1.75,1,0,0,0,-0.03999999999999998,-0.413,False,3
Blue,Joachim Christensen,Gadzhimurad Antigulov,8,10.159999999999997,15.23999999999998,45.5,0.415,-1.0,-1.0,-1.0,0,1,0,0,0.415,-1.0,False,3
Red,Cub Swanson,Artem Lobov,3,-2.539999999999992,12.700000000000017,14.166699999999999,0.13,0.5,0.2,0.1667,7,1,1,0,0.13,0.2,False,5
Red,Al Iaquinta,Diego Sanchez,-6,0.0,-5.079999999999984,17.235599999999998,0.044999999999999984,-0.23110000000000008,0.03899999999999998,-0.3867,-9,-7,3,0,0.044999999999999984,0.03899999999999998,False,3
Red,Ovince Saint Preux,Marcos Rogerio de Lima,3,5.0800000000000125,12.699999999999989,16.666600000000003,-0.09899999999999998,0.6667,0.305,-0.33330000000000004,3,3,-1,3,-0.09899999999999998,0.305,False,3
Red,John Dodson,Eddie Wineland,0,-10.159999999999997,-7.6200000000000045,7.799999999999997,0.16599999999999998,0.49999999999999994,0.14100000000000001,0.0,2,-2,-2,1,0.16599999999999998,0.14100000000000001,False,3
Blue,Joe Lauzon,Stevie Ray,5,0.0,2.539999999999992,-8.713000000000001,0.0010000000000000009,0.8174,0.136,0.6174000000000001,10,8,0,0,0.0010000000000000009,0.136,False,3
Blue,Jake Ellenberger,Mike Perry,7,-2.5400000000000205,0.0,-31.3889,-0.07899999999999996,1.2222,0.378,0.2222,8,7,0,0,-0.07899999999999996,0.378,False,3
Red,Thales Leites,Sam Alvey,5,-2.5400000000000205,7.6200000000000045,-5.105899999999998,-0.125,1.8235,0.294,0.9,4,3,-4,1,-0.125,0.294,False,3
Blue,Dustin Ortiz,Brandon Moreno,5,-5.0800000000000125,-12.700000000000017,13.0,-0.08700000000000002,-0.6667000000000001,-0.39299999999999996,-0.8889,3,4,-1,0,-0.08700000000000002,-0.39299999999999996,False,3
Red,Scott Holtzman,Michael McBride,2,-10.159999999999997,-15.240000000000009,40.75,-0.02200000000000002,2.25,0.62,0.5,2,1,0,0,-0.02200000000000002,0.62,False,3
Blue,Jessica Penne,Danielle Taylor,7,12.699999999999989,17.78,-0.6666999999999987,0.10500000000000001,0.8332999999999999,-0.33299999999999996,0.0,0,1,-1,2,0.10500000000000001,-0.33299999999999996,False,3
Red,Alexis Davis,Cindy Dandois,0,-2.5400000000000205,0.0,,,,,,4,2,0,1,,,False,3
Red,Bryan Barberena,Joe Proctor,-4,5.079999999999984,0.0,38.2286,0.08699999999999997,0.4,0.266,-0.9429000000000001,-1,-1,0,0,0.08699999999999997,0.266,False,3
Red,Hector Sandoval,Matt Schnell,3,-15.240000000000009,-15.240000000000009,5.0,0.015000000000000013,1.0,0.08,1.0,1,0,1,-1,0.015000000000000013,0.08,False,3
Red,Demetrious Johnson,Wilson Reis,-2,-2.539999999999992,2.539999999999992,35.7083,0.14300000000000002,-0.10829999999999984,-0.04799999999999999,-0.025000000000000022,7,0,8,0,0.14300000000000002,-0.04799999999999999,True,5
Red,Rose Namajunas,Michelle Waterson,-7,5.079999999999984,7.6200000000000045,13.299999999999997,-0.318,0.7999999999999998,-0.40800000000000003,-2.0,1,2,-2,1,-0.318,-0.40800000000000003,False,3
Blue,Jacare Souza,Robert Whittaker,11,2.539999999999992,-2.539999999999992,-30.950000000000003,0.09100000000000003,0.975,0.10000000000000003,0.875,-1,-1,-4,0,0.09100000000000003,0.10000000000000003,False,3
Blue,Jeremy Stephens,Renato Moicano,3,-7.6200000000000045,-2.539999999999992,-10.958300000000001,0.07,0.625,0.044999999999999984,-0.08329999999999999,10,12,-2,1,0.07,0.044999999999999984,False,3
Red,Alexander Volkov,Roy Nelson,-12,17.78,20.319999999999993,22.3889,0.14700000000000002,0.16669999999999996,0.347,-0.0556,-8,-9,0,0,0.14700000000000002,0.347,False,3
Blue,Patrick Williams,Tom Duquesnoy,12,2.539999999999992,12.699999999999989,,,,,,1,1,1,0,,,False,3
Blue,Bobby Green,Rashid Magomedov,-2,2.5400000000000205,2.539999999999992,-17.700000000000003,-0.063,-0.13330000000000009,-0.15000000000000002,-0.033300000000000024,0,1,0,1,-0.063,-0.15000000000000002,False,3
Blue,Louis Smolka,Tim Elliott,-5,5.079999999999984,5.0800000000000125,-3.9643000000000015,0.006000000000000005,-1.7856999999999998,-0.305,0.7142999999999999,3,-2,0,-2,0.006000000000000005,-0.305,False,3
Red,Aljamain Sterling,Augusto Mendes,-7,2.5400000000000205,15.240000000000009,14.666699999999999,0.15299999999999997,0.16670000000000007,0.30200000000000005,1.1667,3,1,-1,2,0.15299999999999997,0.30200000000000005,False,3
Red,Devin Clark,Jake Collier,-1,-7.6200000000000045,-7.6200000000000045,-2.25,0.13499999999999995,0.25,0.365,0.25,-1,-1,0,0,0.13499999999999995,0.365,False,3
